Latitude	weight	tarsal_length
northerly	18.72593073	5.75351234
northerly	31.07247619	11.37873197
northerly	30.58054839	11.76027795
northerly	23.63592988	9.363921185
northerly	24.00419007	11.10214252
northerly	19.66565097	7.655227254
northerly	25.83597921	10.06388923
northerly	24.80077734	10.25679353
northerly	18.73216372	6.210648542
northerly	27.83201728	9.824440689
midrange	24.33916177	10.57420608
midrange	16.75199942	6.002949123
midrange	30.38007585	11.38359853
midrange	33.64388716	13.44320525
midrange	20.0586353	8.060591457
midrange	24.32867699	8.473575712
midrange	21.07922977	6.105175918
midrange	25.02020551	8.671594399
midrange	19.00793364	7.100288346
midrange	16.35731499	6.097964937
southerly	20.76417982	9.931447273
southerly	23.03549538	11.77002579
southerly	29.51394699	11.13124568
southerly	15.83578244	7.619523551
southerly	25.72594626	12.5017672
southerly	29.83650637	12.07689097
southerly	25.80279797	11.62906492
southerly	22.37199272	9.572310817
southerly	29.71049537	11.44791453
southerly	25.77719581	12.77955494
