beachtype	width	height
sheltered	18.72593073	5.75351234
sheltered	31.07247619	11.37873197
sheltered	30.58054839	11.76027795
sheltered	23.63592988	9.363921185
sheltered	24.00419007	11.10214252
sheltered	19.66565097	7.655227254
sheltered	25.83597921	10.06388923
sheltered	24.80077734	10.25679353
sheltered	18.73216372	6.210648542
sheltered	27.83201728	9.824440689
semi	24.33916177	10.57420608
semi	16.75199942	6.002949123
semi	30.38007585	11.38359853
semi	33.64388716	13.44320525
semi	20.0586353	8.060591457
semi	24.32867699	8.473575712
semi	21.07922977	6.105175918
semi	25.02020551	8.671594399
semi	19.00793364	7.100288346
semi	16.35731499	6.097964937
exposed	20.76417982	9.931447273
exposed	23.03549538	11.77002579
exposed	29.51394699	11.13124568
exposed	15.83578244	7.619523551
exposed	25.72594626	12.5017672
exposed	29.83650637	12.07689097
exposed	25.80279797	11.62906492
exposed	22.37199272	9.572310817
exposed	29.71049537	11.44791453
exposed	25.77719581	12.77955494
